Sales Record Number,Buyer Username,Buyer Country,Ship To City,Ship To State,Item Number,Item Title,SKU,Sold Via Promoted Listings,Quantity,Sold For,Item Location,Total Price,Sale Date,Minimum Estimated Delivery Date,Maximum Estimated Delivery Date,Shipped On Date,Feedback Received,Shipping Service,Cancel_Order
16020,brblank-75,United States,Oceana,WV,133851096511,"Coca-Cola Soda Soft Drink, 12 fl oz, 35 Pack",049000058468-C-P-L2-10.49,No,1.0,39.95,"Arlington Heights, Illinois",42.35,2024-02-29,2024-03-08,2024-03-08,2024-03-01,No Feedback,USPS Ground Advantage,No
16019,2011superchief,United States,Marceline,MO,133255797909,"Tassos Double Stuffed Jalapeno and Garlic Olives, 1 Liter (pack of 6",652878008635-C-P-L6-40.74,No,1.0,77.99,"Arlington Heights, Illinois",82.26,2024-02-29,2024-03-05,2024-03-08,2024-03-01,positive,USPS Priority Mail Flat Rate Envelope,No
16018,vettsh-0,United States,Whittier,CA,133545957886,Natural Duraflame Fire Logs 6 Lb - Case of 9,041137009078-C-P-L1-32.99,No,2.0,75.99,"Arlington Heights, Illinois",167.56,2024-02-29,2024-03-05,2024-03-09,2024-03-01,No Feedback,USPS Ground Advantage,No
16017,whizzy1,United States,merritt island,FL,134725756844,Starbucks Limited Edition 2021 Holiday Blend K-Cup Pods - 72 count,050000563319-C-P-L3-31.98,No,1.0,51.9,"Arlington Heights, Illinois",0.0,2024-02-29,2024-03-04,2024-03-04,2024-02-29,No Feedback,USPS Ground Advantage,Yes
16016,base0123,United States,New Haven,CT,134743149495,"Topo Chico Twist of Lime Sparkling Mineral Water 16.9 fl. oz., 18 ct",021136180664-CB-P-L3-20.99,No,2.0,52.99,"Arlington Heights, Illinois",105.98,2024-02-27,2024-03-09,2024-03-09,2024-02-28,No Feedback,USPS Priority Mail Flat Rate Envelope,No
16015,le64761,Canada,Glendale Heights,IL,134943527073,Giant Connect 4: Hasbro's Original Connect4 Game Super-Sized - 46.5 inch All-...,840281710690-C-A-L1-69.99,No,1.0,129.95,"Schaumburg, Illinois",146.84,2024-02-27,2024-03-12,2024-03-18,2024-02-27,No Feedback,USPS Priority Mail Flat Rate Envelope,No
16014,desertcat12,United States,Las Vegas,NV,134953361510,Popcorn Caramel Cluster Member's Mark 16 oz,193968357313-S-F-L2-7.28,No,1.0,21.9,"Schaumburg, Illinois",21.9,2024-02-27,2024-03-08,2024-03-08,2024-02-27,No Feedback,USPS Priority Mail Flat Rate Envelope,No
16013,megar-6867,United States,North Anson,ME,134941341697,El Milagro Corn Tortillas Maiz - 24 Packs - PAPER - Always Fresh - Priority Ship,038622621174-S-P-L2-12.48,No,1.0,34.95,"Schaumburg, Illinois",36.87,2024-02-26,2024-03-02,2024-03-02,2024-02-26,No Feedback,USPS Priority Mail Flat Rate Envelope,No
16012,susan2012-47,United States,Van Horn,TX,134047446093,"Dixie Ultra 10 1/16"" Dinner Plates, White, 186 Count",078731968166-CB-P-L1-20.99,No,1.0,38.99,"Elk Grove Village, Illinois",42.11,2024-02-25,2024-03-04,2024-03-04,2024-02-26,positive,USPS Priority Mail,No
16011,jakethejumbogiant,United States,Mapleton,ND,133282951865,"Cambro Set of 2 Square Food Storage Containers with Lids, 8 Quart",099511343409-CB-F-L1-14.99,No,1.0,34.99,"Arlington Heights, Illinois",37.44,2024-02-25,2024-03-04,2024-03-04,2024-02-26,No Feedback,USPS Priority Mail Flat Rate Envelope,No
16010,krikorn-38,United States,Saint James,NY,134934744238,Garden Veggie Snacks Mini Hearts (40 pk.),829515326289-S-F-L1-14.98,No,1.0,33.99,"Schaumburg, Illinois",33.99,2024-02-25,2024-03-05,2024-03-05,2024-02-26,No Feedback,USPS Priority Mail Flat Rate Envelope,No
16009,juliwilliam-54,United States,Sandy,UT,133545957886,Natural Duraflame Fire Logs 6 Lb - Case of 9,041137009078-C-P-L1-32.99,No,3.0,69.99,"Arlington Heights, Illinois",225.19,2024-02-24,2024-03-02,2024-03-02,2024-02-26,positive,USPS Ground Advantage,No
16008,dirtbiker9,United States,durango,CO,134527355474,"Morton Table Salt, Non Iodized Salt, 25 Pound",024600011020-CB-P-L2-6.49,No,1.0,35.99,"Arlington Heights, Illinois",36.71,2024-02-24,2024-03-04,2024-03-04,2024-02-26,No Feedback,USPS Ground Advantage,No
16007,labur_82,United States,Millers Creek,NC,133282951865,"Cambro Set of 2 Square Food Storage Containers with Lids, 8 Quart",099511343409-CB-F-L1-14.99,No,1.0,34.99,"Arlington Heights, Illinois",37.44,2024-02-21,2024-02-27,2024-02-27,2024-02-22,No Feedback,USPS Priority Mail Flat Rate Envelope,No
16006,dee2900,United States,Scotch Plains,NJ,133851124992,Premium Dog Biscuits Chicken Meal & Rice Forumla All Sizes & Breeds - 15 lbs.,096619110438-C-P-L1-17.69,No,1.0,38.15,"Arlington Heights, Illinois",40.68,2024-02-21,2024-02-26,2024-02-26,2024-02-21,No Feedback,USPS Ground Advantage,No
16005,bobhroland,United States,Naples,FL,133255797909,"Tassos Double Stuffed Jalapeno and Garlic Olives, 1 Liter (pack of 6",652878008635-C-P-L6-40.74,No,2.0,77.99,"Arlington Heights, Illinois",155.98,2024-02-19,2024-02-23,2024-02-23,2024-02-20,No Feedback,USPS Priority Mail Flat Rate Envelope,No
16004,noro-6538,United States,Windsor,CO,134941341697,El Milagro Corn Tortillas Maiz - 24 Packs - PAPER - Always Fresh - Priority Ship,038622621174-S-P-L2-12.48,No,1.0,34.95,"Schaumburg, Illinois",36.23,2024-02-19,2024-02-23,2024-02-23,2024-02-19,positive,USPS Priority Mail Flat Rate Envelope,No
16003,lizardsong7,United States,Lake Zurich,IL,133854472432,"(Case of 6) Coleman Propane Tanks Fuel Camping,hunting,Cooking🔥🔥 FREE SHIPPING",014045324236-S-P-L2-30.00,No,2.0,64.99,"Arlington Heights, Illinois",139.08,2024-02-15,2024-02-17,2024-02-17,2024-02-16,No Feedback,USPS Ground Advantage,No
16002,edad2000,United States,Denver,CO,134281563525,Hoody's Peanut Butter Chocolate Mix - 2 Pack,041616202037-C-P-L2-19.98,No,1.0,36.99,"Arlington Heights, Illinois",38.75,2024-02-15,2024-02-22,2024-02-22,2024-02-16,positive,USPS Ground Advantage,No
16001,7enough,United States,Lead,SD,134609868012,"Gourmet Kitchn Natures Bakery Whole Wheat Fig Bars - 2 Twin Pack Boxes, 64 Bars",0474956110048-C-P-L2-18.28,No,1.0,42.99,"Arlington Heights, Illinois",44.8,2024-02-15,2024-02-20,2024-02-20,2024-02-16,No Feedback,USPS Ground Advantage,No
16000,eastern_liquidator,United States,Feasterville,PA,133801733970,"Nachos Jalapeno Peppers Sliced 64 fl Oz/4 lb. Kosher, Spicy- PK of 2 Glass Jars",076397105154-S-P-L1-7.96,No,1.0,24.9,"Arlington Heights, Illinois",24.9,2024-02-14,2024-02-20,2024-02-20,2024-02-15,positive,USPS Ground Advantage,No
15999,jesse777744,United States,Van Buren Twp,MI,133255797909,"Tassos Double Stuffed Jalapeno and Garlic Olives, 1 Liter (pack of 6",652878008635-C-P-L6-40.74,No,1.0,77.99,"Arlington Heights, Illinois",77.99,2024-02-14,2024-02-17,2024-02-17,2024-02-15,No Feedback,USPS Priority Mail Flat Rate Envelope,No
